name	type	units	low_cutoff	high_cutoff	sampling_frequency	status	status_description
G1	ECOG	uV	n/a	n/a	512.0	bad	no localization
G2	ECOG	uV	n/a	n/a	512.0	good	n/a
G3	ECOG	uV	n/a	n/a	512.0	good	n/a
G4	ECOG	uV	n/a	n/a	512.0	good	n/a
G5	ECOG	uV	n/a	n/a	512.0	good	n/a
G6	ECOG	uV	n/a	n/a	512.0	good	n/a
G7	ECOG	uV	n/a	n/a	512.0	good	n/a
G8	ECOG	uV	n/a	n/a	512.0	good	n/a
G9	ECOG	uV	n/a	n/a	512.0	good	n/a
G10	ECOG	uV	n/a	n/a	512.0	good	n/a
G11	ECOG	uV	n/a	n/a	512.0	good	n/a
G12	ECOG	uV	n/a	n/a	512.0	good	n/a
G13	ECOG	uV	n/a	n/a	512.0	good	n/a
G14	ECOG	uV	n/a	n/a	512.0	good	n/a
G15	ECOG	uV	n/a	n/a	512.0	good	n/a
G16	ECOG	uV	n/a	n/a	512.0	good	n/a
G17	ECOG	uV	n/a	n/a	512.0	good	n/a
G18	ECOG	uV	n/a	n/a	512.0	good	n/a
G19	ECOG	uV	n/a	n/a	512.0	good	n/a
G20	ECOG	uV	n/a	n/a	512.0	good	n/a
G21	ECOG	uV	n/a	n/a	512.0	good	n/a
G22	ECOG	uV	n/a	n/a	512.0	good	n/a
G23	ECOG	uV	n/a	n/a	512.0	good	n/a
G24	ECOG	uV	n/a	n/a	512.0	good	n/a
G25	ECOG	uV	n/a	n/a	512.0	good	n/a
G26	ECOG	uV	n/a	n/a	512.0	good	n/a
G27	ECOG	uV	n/a	n/a	512.0	good	n/a
G28	ECOG	uV	n/a	n/a	512.0	good	n/a
G29	ECOG	uV	n/a	n/a	512.0	good	n/a
G30	ECOG	uV	n/a	n/a	512.0	good	n/a
G31	ECOG	uV	n/a	n/a	512.0	good	n/a
G32	ECOG	uV	n/a	n/a	512.0	good	n/a
G33	ECOG	uV	n/a	n/a	512.0	good	n/a
G34	ECOG	uV	n/a	n/a	512.0	good	n/a
G35	ECOG	uV	n/a	n/a	512.0	good	n/a
G36	ECOG	uV	n/a	n/a	512.0	good	n/a
G37	ECOG	uV	n/a	n/a	512.0	good	n/a
G38	ECOG	uV	n/a	n/a	512.0	good	n/a
G39	ECOG	uV	n/a	n/a	512.0	good	n/a
G40	ECOG	uV	n/a	n/a	512.0	good	n/a
G41	ECOG	uV	n/a	n/a	512.0	good	n/a
G42	ECOG	uV	n/a	n/a	512.0	good	n/a
G43	ECOG	uV	n/a	n/a	512.0	good	n/a
G44	ECOG	uV	n/a	n/a	512.0	good	n/a
G45	ECOG	uV	n/a	n/a	512.0	good	n/a
G46	ECOG	uV	n/a	n/a	512.0	good	n/a
G47	ECOG	uV	n/a	n/a	512.0	good	n/a
G48	ECOG	uV	n/a	n/a	512.0	good	n/a
G49	ECOG	uV	n/a	n/a	512.0	good	n/a
G50	ECOG	uV	n/a	n/a	512.0	good	n/a
G51	ECOG	uV	n/a	n/a	512.0	good	n/a
G52	ECOG	uV	n/a	n/a	512.0	good	n/a
G53	ECOG	uV	n/a	n/a	512.0	good	n/a
G54	ECOG	uV	n/a	n/a	512.0	good	n/a
G55	ECOG	uV	n/a	n/a	512.0	good	n/a
G56	ECOG	uV	n/a	n/a	512.0	good	n/a
G57	ECOG	uV	n/a	n/a	512.0	good	n/a
G58	ECOG	uV	n/a	n/a	512.0	good	n/a
G59	ECOG	uV	n/a	n/a	512.0	good	n/a
G60	ECOG	uV	n/a	n/a	512.0	good	n/a
G61	ECOG	uV	n/a	n/a	512.0	good	n/a
G62	ECOG	uV	n/a	n/a	512.0	good	n/a
G63	ECOG	uV	n/a	n/a	512.0	good	n/a
G64	ECOG	uV	n/a	n/a	512.0	good	n/a
G65	ECOG	uV	n/a	n/a	512.0	good	n/a
G66	ECOG	uV	n/a	n/a	512.0	good	n/a
G67	ECOG	uV	n/a	n/a	512.0	good	n/a
G68	ECOG	uV	n/a	n/a	512.0	good	n/a
G69	ECOG	uV	n/a	n/a	512.0	good	n/a
G70	ECOG	uV	n/a	n/a	512.0	good	n/a
G71	ECOG	uV	n/a	n/a	512.0	good	n/a
