name	type	units	low_cutoff	high_cutoff	sampling_frequency	status	status_description
LGA1	ECOG	uV	n/a	n/a	512.0	bad	no localization
LGA2	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA3	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA4	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA5	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA6	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA7	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA8	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA9	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA10	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA11	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA12	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA13	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA14	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA15	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA16	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA17	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA18	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA19	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA20	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA21	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA22	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA23	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA24	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA25	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA26	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA27	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA28	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA29	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA30	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA31	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA32	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA33	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA34	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA35	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA36	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA37	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA38	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA39	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA40	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA41	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA42	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA43	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA44	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA45	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA46	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA47	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA48	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA49	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA50	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA51	ECOG	uV	n/a	n/a	512.0	good	n/a
LGA52	ECOG	uV	n/a	n/a	512.0	good	n/a
